HÚMEDO           A. Corto              B. Huraño           C. Mojado              D. Moderado
RÁPIDO           A. Mayor              B. Ligero           C. Estrecho            D. Pronto
DIARIO           A. Variable           B. Cotidiano        C. Indiferente         D. Insoportable
ESPLÉNDIDO       A. Expansivo          B. Alegre           C. Rígido              D. Astuto
HABITUAL         A. Nocturno           B. Circular         C. Repetido            D. Fijo
FLUIDO           A. Lúcido             B. Muerto           C. Ligero              D. Firme
HOLGAZÁN         A. Gandul             B. Travieso         C. Inclinado           D. Laborioso
DESAMPARADO      A. Grave              B. Absurdo          C. Jubiloso            D. Infeliz
RARO             A. Santo              B. Tosco            C. Escaso              D. Deforme
CONTENTO         A. Festivo            B. Continuo         C. Doloroso            D. Apático
ENOJADO          A. Risueño            B. Pobre            C. Enfático            D. Desventurado
BENEFICIOSO      A. Artificial         B. Domesticale      C. Curativo            D. Defamatorio
MOHOSO           A. Tónico             B. Hermumbroso      C. Uniforme            D. Infecto
TERAPÉUTICO      A. Diagramático       B. Amorfo           C. Cinestésico         D. Aseado
TOSCO            A. Sucio              B. Deshonroso       C. Prolífico           D. Ordinario
SOBRIO           A. Diminuto           B. Moral            C. Contemporáneo       D. Impávido
FESTIVO          A. Atrevido           B. Alegre           C. Delicado            D. Humillado
AUGUSTO          A. Majestuoso         B. Forense          C. Hortícola           D. Inspirado
DIFAMANTE        A. Deshonroso         B. Rígido           C. Digestivo           D. Cortés
EDUCADO          A. Rico               B. Abundado         C. Honorable           D. Asilado
NOVEL            A. Costoso            B. Nuevo            C. Resignado           D. Total
FAMOSO           A. Célebre            B. Leal             C. Renovado            D. Real
SISTEMÁTICO      A. Laudatorio         B. Ordenado         C. Jubiloso            D. Anillado
FATIGADO         A. Dócil              B. Grave            C. Casual              D. Emotivo
RESPLANDECIENTE  A. Fonético           B. Acerbo           C. Bilateral           D. Tangible
GENEROSO         A. Olvidadizo         B. Ardiente         C. Liberal             D. Soflamable
REGIO            A. Blando             B. Facial           C. Recto               D. Infranqueable
FLEXIBLE         A. Lastimoso          B. Formal           C. Plegable            D. Pacífico
SAGAZ            A. Exótico            B. Aparte           C. Difamante           D. Astuto
IRREFLEXIVO      A. Paciente           B. Preferible       C. Paralelo            D. Valioso
DEFICIENTE       A. Constante          B. Triste           C. Valoroso            D. Naciente
VIGILANTE        A. Alerta             B. Indulgente       C. Tranquilo           D. Naciente
MÍNIMO           A. Húmedo             B. Restringido      C. Amplio              D. Foráneo
GALANTE          A. Caballeroso        B. Artificial       C. Ferviente           D. Robusto
ALOCADO          A. Femenino           B. Casual           C. Colérico            D. Inspirado
DISCRETO         A. Cauteloso          B. Fragante         C. Honorable           D. Aromático
PREDESTINADO     A. Simplificado       B. Selectivo        C. Directivo           D. Certero
PATERNO          A. Importante         B. Benigno          C. Impresivo           D. Directivo
PRÓDIGIO         A. Compuesto          B. Famoso           C. Imperfecto          D. Externo
DEFECTUOSO       A. Nato               B. Mítico           C. Imperfecto          D. Extremo
VAGO             A. Oscuro             B. Medicinal        C. Dependiente         D. Leve
ESENCIAL         A. Clásico            B. Indispensable    C. Completo            D. Limitado
SIMPLE           A. Retórico           B. Insuficiente     C. Claro               D. Estático
IMPULSIVO        A. Fletado            B. Nervioso         C. Valoroso            D. Meditado
APOCADO          A. Inflectido         B. Trémulo          C. Triste              D. Alborozado
ENÉRGICO         A. Solemne            B. Falso            C. Adundante           D. Acobardado
LIBRE            A. Abierto            B. Móvil            C. Adecuado            D. Obligatorio
LEAL             A. Famoso             B. Mortal           C. Franco              D. Abigarrado
LACERADO         A. Ajustado           B. Envidioso        C. Claro               D. Descosido
ABSURDO          A. Estupendo          B. Envidioso        C. Claro               D. Acelerado
